"","artist","title","sales_price","sold_dummy","low_estimate","high_estimate","signiture","height","width","surface","created","medium","auction_lot","auction_date","auction_location"
"1357","Wei Liu","REVOLUTIONARY FAMILY SERIES: TRAVEL TIME (DIPTYCH)",4558760,1,1921500,2562000,"Signed and Dated",150,200,30000,"1993","Oil / Canvas","1060","3/31/18","0"
"1358","Chunya Zhou","PEACH BLOSSOM IN THE SPRING ONCE AGAIN (DIPTYCH)",1552570,1,1281000,1921500,"Signed and Dated",100,500,50000,"2013","Oil / Canvas","1062","3/31/18","0"
"1359","Hyong Keun Yun","UMBER-BLUE",176140,1,102480,153720,"Signed and Dated",130.5,80,10440,"1979-1986-7","Oil / Linen","1064","3/31/18","0"
"1360","Seo-Bo Park","ECRITURE NO. 5-80",1168270,1,768600,1152900,"Signed and Dated",162,194.6,31525.2,"1980","Pencil and oil / Canvas","1068","3/31/18","0"
"1361","Chiyu Uemae","WORK (DIPTYCH)",1168270,1,384300,640500,"Signed and Dated",216,182,39312,"1964","Oil / Canvas","1069","3/31/18","0"
"1362","Gerhard Richter","ABSTRAKTES BILD",2628610,1,2177700,3202500,"Signed and Dated",70.5,100.3,7071.15,"1986","Oil / Canvas","1070","3/31/18","0"
"1363","Sanghwa Chung","UNTITLED 87-12-17",320250,1,256200,384300,"Signed and Dated",130.5,130.5,17030.25,"1987","Acrylic / Canvas","1071","3/31/18","0"
"1364","Ufan Lee","WITH WINDS",1168270,1,871080,1255380,"Signed and Dated",218,291,63438,"1988","Oil and mineral pigment / Canvas","1072","3/31/18","0"
"1365","Ufan Lee","FROM WINDS",NA,0,640500,896700,"Signed and Dated",162,130.2,21092.4,"1982","Oil and mineral pigment / Canvas","1073","3/31/18","0"
"1366","Yu Youhan","ABSTRACT 1988-1",2013730,1,384300,640500,NA,160.6,132,21199.2,"1988","Acrylic / Canvas","1074","3/31/18","0"
"1367","Yayoi Kusama","RED-NETS NO. 2.A.3.",4558760,1,3074400,4099200,"Signed and Dated",71.1,55.9,3974.49,"1960","Oil / Canvas","1075","3/31/18","0"
"1368","Kazuo Shiraga","CHIANSEI KINHYOSHI",3546380,1,1409100,1921500,"Signed and Dated",195,130,25350,"1962","Oil / Canvas","1076","3/31/18","0"
"1369","Atsuko Tanaka","83E",707110,1,640500,1024800,"Signed on Reverse",194,129.9,25200.6,"1983","Polymer / Canvas","1077","3/31/18","0"
"1370","Lucio Fontana","CONCETTO SPAZIALE, ATTESE",3691010,1,1921500,3074400,"Signed on Reverse",72,60,4320,"1965","Waterpaint / Canvas","1078","3/31/18","0"
"1371","Sadamasa Motonaga","WORK",476530,1,384300,640500,"Signed and Dated",91.5,116.8,10687.2,"1965","Synthetic resin / Canvas on board","1079","3/31/18","0"
"1372","Inyoman Masriadi","PEMALAS YG SUPER (A SLOUCH WHO'S SUPER)",352280,1,204960,333060,"Signed and Dated",180,250,45000,"2017","Acrylic / Canvas","1080","3/31/18","0"
"1373","George Condo","GREEN SEATED WOMAN",783970,1,512400,640500,"Signed and Dated",137.5,116.8,16060,"2006","Acrylic / Canvas","1081","3/31/18","0"
"1374","Ronald Ventura","STRIPES",553390,1,115290,192150,"Signed and Dated",183,122,22326,"2017","Oil / Canvas","1082","3/31/18","0"
"1375","Fanzhi Zeng","MASK SERIES",937690,1,512400,768600,"Signed and Dated",100,85,8500,"1998","Oil / Canvas","1083","3/31/18","0"
"1376","Fanzhi Zeng","SKY SERIES: SELF-PORTRAIT",1122160,1,640500,896700,"Signed and Dated",250,170,42500,"2005","Oil / Canvas","1084","3/31/18","0"
"1377","Jean Dubuffet","PROMENADE AGRESTE",1706290,1,1409100,2305800,"Signed and Dated",195.6,100.3,19618.68,"1974","Acrylic / Canvas","1085","3/31/18","0"
"1378","Rudolf Stingel","UNTITLED",2551750,1,2113650,2818200,"Signed and Dated",300,242,72600,"2012","Oil and enamel / Canvas","1087","3/31/18","0"
"1379","Wei Liu","PURPLE AIR",553390,1,256200,384300,"Signed and Dated",180,300,54000,"2012","Oil / Canvas","1088","3/31/18","0"
"1380","Danh Vo","ALPHABET (A)",304240,1,153720,192150,NA,102,165,16830,"2011","Gold / Cardboard","1090","3/31/18","0"
"1381","Jose Maria Cano","WS100 - STEVE JOBS II",41500,1,192150,320250,NA,211.5,150,31725,"2016","Encaustic / Canvas","1092","3/31/18","0"
"1382","Otavio and Gustavo Os Gemeos","CANTAR CIRANDA ? COMO SE AVENTURAR ? VIVER EM ALTO MAR PESCANDO EM UNA JUNGADA (SINGING CIRANDA IS LIKE VENTURING OUT TO THE HIGH SEA TO FISH ON A RAFT)",76860,1,61490,76860,NA,208,152,31616,"2007","Oil / Canvas","866","12/8/17","0"
"1383","Bernard Buffet","UNTITLED",88070,1,44840,57650,"Signed and Dated",65,100,6500,"1961","Oil / Canvas","880","12/8/17","0"
"1384","Walasse Ting","THREE VASES WITH TWO FISH",76860,1,19220,33310,"Artist's Seal",93,176,16368,"c. 1980s","Acrylic and ink / Paper","881","12/8/17","0"
"1385","Walasse Ting","POPPIES",10410,1,5120,7690,"Artist's Seal",41,78,3198,"c. 1980s","Acrylic and ink / Paper","882","12/8/17","0"
"1386","Walasse Ting","LOVEBIRDS",12810,1,5120,7690,"Artist's Seal",46,40,1840,"c. 1980s","Acrylic and ink / Paper","883","12/8/17","0"
"1387","Walasse Ting","PLUM FLOWERS",25620,1,19220,32030,"Signed and Dated",140,49,6860,"1959","Oil / Canvas","886","12/8/17","0"
"1388","Sam Lewis Francis","Untitled (4)",136110,1,102480,153720,"Signed and Dated",NA,NA,NA,"1988","Acrylic / Canvas","887","12/8/17","0"
"1389","Wou-Ki Zao","01.05.69",860830,1,448350,704550,"Signed and Dated",54,65,3510,NA,"Oil / Canvas","888","12/8/17","0"
"1390","Sam Lewis Francis","UNTITLED",NA,0,48680,70460,"Signed and Dated",69,104.2,7189.8,"1970","Acrylic / Paper","889","12/8/17","0"
"1391","Gerhard Richter","ENTWURF F?R GRUND",NA,0,307440,512400,"Signed and Dated",70,100.2,7014,"1978","Oil and acrylic / Panel","894","12/8/17","0"
"1392","Teh-Chun Chu","INTRUSION",128100,1,115290,153720,"Signed and Dated",55,46,2530,"1993","Oil / Canvas","895","12/8/17","0"
"1393","Chin Hsiao","EL FRACASO DE TZYE?",NA,0,19220,32030,"Signed and Dated",70,50,3500,"1958","Oil / Paper","896","12/8/17","0"
"1394","Jiutong Liu","MOUNTAIN OF MEMORIES",60850,1,48680,61490,"Signed and Dated",208,166,34528,"2012","Oil / Canvas","898","12/8/17","0"
"1395","Callum Innes","MONOLOGUE",24020,1,19220,25620,"Signed and Dated",212.5,207.5,44093.75,"2003","Oil / Canvas","899","12/8/17","0"
"1396","Roberto Burle Marx","UNTITLED",17610,1,17930,30740,"Signed and Dated",78,98,7644,"1983","Acrylic / Canvas on board","900","12/8/17","0"
"1397","Maqbool Fida Husain","UNTITLED",80060,1,61490,87110,"Signed and Dated",74.5,105.5,7859.75,"1987","Oil / Canvas","901","12/8/17","0"
"1398","Danqing Chen","TWO YOUNG SHEPHERDS",445790,1,192150,256200,"Signed and Dated",100,74.5,7450,"1986","Oil / Canvas","902","12/8/17","0"
"1399","Kun Song","TWO INNER MONGOLIAN PUNKS",16010,1,19220,25620,"Signed and Dated",140,180,25200,"2011","Oil / Canvas","904","12/8/17","0"
"1400","Shaobin Yang","2006 NO. 8",4803,1,12810,19220,"Signed and Dated",89.5,79.3,7097.35,"2006","Oil / Canvas","906","12/8/17","0"
"1401","Fang Lijun","2004.3.7",13610,1,19220,25620,"Signed and Dated",80,40,3200,"2004","Acrylic / Canvas","908","12/8/17","0"
"1402","Daido Moriyama","'MESH TIGHTS' SERIES TEA TABLES (2 WORKS)",2562,1,1537,3074,NA,NA,NA,NA,"2015","UV printing on tempered glass and stainless steel spray paint","909","12/8/17","0"
"1403","Cecily Brown","UNTITLED",NA,0,30740,51240,"Signed and Dated",50.6,40.4,2044.24,"1996","Oil / Canvas","924","12/8/17","0"
"1404","Antony Gormley","BODY",20820,1,19220,32030,NA,76.5,56,4284,"2011","Casein and carbon / Paper","927","12/8/17","0"
"1405","Tony Bevan","HEAD AND NECK",9610,1,10250,15370,"Signed and Dated",118,79.5,9381,"1994","Acrylic and raw pigment and charcoal / Paper","929","12/8/17","0"
"1406","Jiro Yoshihara","WORK",NA,0,3843,5120,NA,25,25,625,"1960s","Acrylic / Paper","935","12/8/17","0"
"1407","Sadamasa Motonaga","ABOVE IS RED AND OVAL RED",12810,1,10250,19220,"Signed and Dated",41,31.5,1291.5,"1992","Acrylic / Canvas","936","12/8/17","0"
"1408","Tiger Tateishi","TIGER",12810,1,10250,15370,"Signed and Dated",90,79.4,7146,"1969","Oil / Canvas","939","12/8/17","0"
"1409","Tomoo Gokita","UNTITLED",22420,1,9610,25620,NA,54,45.5,2457,"2007","Acrylic and gouache / Paper","940","12/8/17","0"
"1410","Dong Yoo Kim","JOHN F.KENNEDY & MARILYN MONROE",10410,1,19220,25620,"Signed and Dated",193,155.5,30011.5,"2010","Oil / Canvas","942","12/8/17","0"
"1411","Krishen Khanna","A GRAPH OF PLEASURE AND PAIN",64000,1,30720,44800,"Inscribed and Signed",62.4,105.4,6576.96,"1961","Oil / Canvas","806","10/2/17","0"
"1412","Charles Hossein Zenderoudi","TCHODAF",NA,0,44800,70400,"Signed and Dated",50,60,3000,"1968","Oil / Paper","807","10/2/17","0"
"1413","Luis Chan","THE PACIFIC",35200,1,25600,33280,"Signed",116.5,76,8854,"1984","Acrylic / Paper","810","10/2/17","0"
"1414","Youhe Zeng","HAWAII SUNSET",NA,0,35840,44800,"Signed",109,65.5,7139.5,"1957","Ink and acrylic / Paper on board","818","10/2/17","0"
"1415","Deshu Qiu","FISSURING - GENESIS - LANDSCAPE, NO. 11",43200,1,12800,23040,"Signed",65,122,7930,"1996","Ink and acrylic / Paper","847","10/2/17","0"
"1416","Charles Hossein Zenderoudi","SEDA+SOBH+ZOUD",NA,0,70400,102400,NA,118,112,13216,"1971","Acrylic and pigments / Canvas","849","10/2/17","0"
"1417","Jialing Chen","MORNING LOTUS AND TRANSFORMATION (SET OF TWO WORKS)",30400,1,15360,23040,NA,NA,NA,NA,"1990","Oil / Canvas","852","10/2/17","0"
"1418","Chongbin Zheng","ACCELERATED FIELD",44800,1,35840,48640,"Signed and Dated",243.8,122,29743.6,"2013","Ink and acrylic / Paper","854","10/2/17","0"
"1419","Ang Tsherin Sherpa","LOST SPIRITS",27200,1,23040,28160,NA,80,116.8,9344,"2014","Acrylicgold leaf and ink / Cotton","862","10/2/17","0"
"1420","Jiyuan Wang","SELF-PORTRAIT",28800,1,23040,35840,NA,91.5,76.3,6981.45,"1949","Oil / Board","5037","10/1/17","0"
"1421","Jiyuan Wang","FRUITS (STILL LIFE)",120000,1,12800,25600,"Signed and Dated",76.3,92,7019.6,"1951","Oil / Canvas","5038","10/1/17","0"
"1422","Jiyuan Wang","BOATING IN CENTRAL PARK",35200,1,10240,19200,NA,62.5,74.6,4662.5,NA,"Oil / Canvas","5039","10/1/17","0"
"1423","Jiyuan Wang","CHRYSANTHEMUM IN CHINESE VASE",28800,1,23040,35840,"Signed",121,74.7,9038.7,"1951","Oil / Board","5040","10/1/17","0"
"1424","Jiyuan Wang","FIGURES IN LANDSCAPE",56000,1,10240,19200,NA,62.5,75,4687.5,NA,"Oil / Canvas","5041","10/1/17","0"
"1425","Jiyuan Wang","FLOWERS",12800,1,10240,19200,NA,62.5,74.5,4656.25,NA,"Oil / Canvas","5051","10/1/17","0"
"1426","Jiyuan Wang","LANDSCAPE WITH FIGURES",NA,0,10240,19200,"Signed Initials",62.5,74.5,4656.25,NA,"Oil / Masonite","5052","10/1/17","0"
"1427","Jiyuan Wang","CARS IN SNOW",30400,1,7680,12800,NA,76.5,63.5,4857.75,NA,"Oil / Masonite","5053","10/1/17","0"
"1428","Jiyuan Wang","SUNSET WITH PINE TREE (1,000 ISLANDS)",41600,1,12800,25600,"Signed Initials",75,90,6750,"1951","Oil / Board","5054","10/1/17","0"
"1429","Jiyuan Wang","PORTRAIT OF OLD MAN",12800,1,10240,19200,"Signed",76,63.5,4826,NA,"Oil / Masonite","5055","10/1/17","0"
"1430","Jiyuan Wang","HORSE",19200,1,7680,12800,"Signed Initials",63.5,76.7,4870.45,NA,"Oil / Masonite","5056","10/1/17","0"
"1431","Li Yuan-Chia","SENZA TITOLO",25600,1,5120,10240,NA,18,49,882,"1957","Oil / Canvas on board","5063","10/1/17","0"
"1432","Li Yuan-Chia","SENZA TITOLO",22400,1,11520,21760,"Signed and Dated",40,40,1600,"1963","Oil and ink / Canvas","5067","10/1/17","0"
"1433","Li Yuan-Chia","SENZA TITOLO",15200,1,5120,10240,"Signed and Dated",35.5,45.5,1615.25,"1953","Oil / Board","5068","10/1/17","0"
"1434","Chin Hsiao","OLTRE LA GRANDE SOGLIA-59",67200,1,44800,70400,NA,60,150,9000,"c. 1990s","Acrylic / Canvas","5070","10/1/17","0"
"1435","Chin Hsiao","SAMADHI",160000,1,51200,76800,"Signed and Titled",140,150,21000,"1996","Acrylic / Canvas","5071","10/1/17","0"
"1436","Chin Hsiao","LA LUCE DIVINA 10",152000,1,38400,64000,"Signed and Dated",130,160,20800,"2015","Acrylic / Canvas","5072","10/1/17","0"
"1437","Teh-Chun Chu","LES SECRETS DU PRINTEMPS",704000,1,576000,832000,"Signed and Dated",194.5,129.5,25187.75,"2001","Oil / Canvas","5073","10/1/17","0"
"1438","Kan Ho","SENZA TITOLO (TWO WORKS)",4160,1,3840,7680,NA,NA,NA,NA,NA,"Oil / Canvas","5074","10/1/17","0"
"1439","Kan Ho","SENZA TITOLO",4160,1,3840,7680,"Signed and Dated",50,40,2000,"1998","Oil / Canvas","5075","10/1/17","0"
"1440","Kan Ho","SENZA TITOLO",5120,1,3840,7680,"Signed and Dated",50,40,2000,"1998","Oil / Canvas","5076","10/1/17","0"
"1441","Walasse Ting","LADIES WITH PARROTS",11200,1,8960,19200,"Stamped",36,48.2,1735.2,"c. 1980s","Acrylic / Paper","5077","10/1/17","0"
"1442","Walasse Ting","THREE LADIES",56000,1,44800,70400,"Stamped",184,123,22632,NA,"Acrylic / Paper","5078","10/1/17","0"
"1443","De-Jinn Shiy","SHIMENDING",160000,1,102400,153600,"Signed and Dated",61.5,61.5,3782.25,"1967","Oil / Canvas","5083","10/1/17","0"
"1444","Pang Jiun","YANGSHUO",51200,1,19200,25600,"Signed and Titled",50.5,74,3737,"1978","Oil / Board","5084","10/1/17","0"
"1445","Pang Jiun","GU LANGYU",136000,1,102400,153600,"Signed and Dated",130,162,21060,"2017","Oil / Canvas","5085","10/1/17","0"
"1446","Shih Chiao Li","ROSES",56000,1,44800,70400,"Signed and Dated",53,45.5,2411.5,"1987","Oil / Canvas","5086","10/1/17","0"
"1447","Hon Hee","JUNK BOAT MUSICIAN",12800,1,10240,15360,"Signed",71,55,3905,NA,"Oil / Canvas on board","5087","10/1/17","0"
"1448","Yatsai Chiu","IDIOT",38400,1,30720,44800,"Signed",163,131.5,21434.5,"1995","Oil / Canvas","5092","10/1/17","0"
"1449","Yatsai Chiu","NUDE MAN",NA,0,51200,76800,"Signed and Titled",131.5,98,12887,"1997","Oil / Canvas","5093","10/1/17","0"
"1450","Yatsai Chiu","YOUNG MAN IN THE NIGHT",NA,0,38400,64000,"Signed and Titled",131.5,98,12887,"1995","Oil / Canvas","5094","10/1/17","0"
"1451","Jangeng Wang","UNTITLED",NA,0,1280,2560,"Signed and Dated",44,76,3344,"1963","Oil / Canvas","5096","10/1/17","0"
"1452","Yiming Chen","WATERSCAPE",NA,0,19200,25600,"Signed",61.5,92.5,5688.75,NA,"Oil / Canvas","5097","10/1/17","0"
"1453","Shozo Shimamoto","LUCKY STAR",256000,1,64000,102400,"Signed and Dated",40.9,31.5,1288.35,"1965","Oil / Canvas","603","10/1/17","0"
"1454","Yuko Nasaka","537-2",136000,1,51200,64000,NA,120.3,80,9624,"1962","Resin and lacquer / Canvas on board","604","10/1/17","0"
"1455","Chiyu Uemae","UNTITLED",56000,1,44800,57600,"Signed and Dated",168,137.5,23100,"1972","Oil / Canvas","605","10/1/17","0"
"1456","Waichi Tsutaka","UNTITLED",35200,1,28160,40960,"Signed and Dated",95.3,157.5,15009.75,"1960","Oil / Canvas","606","10/1/17","0"
"1457","Waichi Tsutaka","UNTITLED",48000,1,15360,28160,"Signed and Dated",97,145,14065,"1970","Oil / Canvas","607","10/1/17","0"
"1458","Waichi Tsutaka","UNTITLED",7200,1,2560,5120,"Signed",25.4,15.2,386.08,NA,"Oil / Canvas","608","10/1/17","0"
"1459","Takeo Yamaguchi","GAI - END OF THE EDGE",88000,1,70400,96000,"Signed and Titled",91.7,91.7,8408.89,"1982","Oil / Board","610","10/1/17","0"
"1460","Sam Lewis Francis","UNTITLED",NA,0,460800,588800,"Signed",182.9,122,22313.8,"1988","Acrylic / Canvas","611","10/1/17","0"
"1461","Sanghwa Chung","UNTITLED 84-8-16",176000,1,153600,230400,"Signed and Titled",67.6,68,4596.8,"1984","Acrylic / Canvas","612","10/1/17","0"
"1462","Ufan Lee","FROM WINDS",208000,1,128000,192000,"Signed and Dated",91.1,72.7,6622.97,"1987","Oil and mineral pigment / Canvas","613","10/1/17","0"
"1463","Sanghwa Chung","UNTITLED 79-P.1",28800,1,23040,35840,"Signed and Dated",123.4,90.1,11118.34,"1979","frottage / Canvas","615","10/1/17","0"
"1464","Sanghwa Chung","FROTTAGE + SKETCH P.8",24000,1,19200,23040,"Signed and Dated",87.9,85.6,7524.24,"1978","frottage / Canvas","617","10/1/17","0"
"1465","Damien Hirst","BEAUTIFUL OASIS IN A DESERTED EXPANSE, DRINK UP THE BEAUTY BEFORE IT¡¯S TOO LATE PAINTING",NA,0,217600,307200,"Signed",122.5,122.5,15006.25,"2007","household gloss / Canvas","619","10/1/17","0"
"1466","Yu Youhan","1991-8",224000,1,179200,230400,"Signed and Dated",92,116,10672,"1991","Acrylic / Canvas","620","10/1/17","0"
"1467","Shan Li","EXTENSIONS NO.1",80000,1,64000,89600,"Signed and Dated",120.5,57.5,6928.75,"1984","Oil / Canvas","621","10/1/17","0"
"1468","Guangle Wang","TERRAZZO",72000,1,38400,64000,"Signed and Dated",50,49.8,2490,"2002","Oil / Canvas","623","10/1/17","0"
"1469","Enli Zhang","FRUIT DISH",NA,0,51200,64000,"Signed and Dated",99.5,108.5,10795.75,"2009","Oil / Canvas","624","10/1/17","0"
"1470","Molin Xie","LAND 1",NA,0,19200,32000,"Signed and Titled",120,120,14400,"2012","Acrylic / Canvas","625","10/1/17","0"
"1471","Zhen Xu","UNDER HEAVEN-3233GK0416",48000,1,38400,64000,"Signed and Dated",90,120,10800,"2014","Oil / Canvas on board","626","10/1/17","0"
"1472","Yao Zhao","A PAINTING OF THOUGHT III-250",44800,1,12800,19200,"Signed and Titled",135,160,21600,"2012","Acrylic on found fabric / Canvas","627","10/1/17","0"
"1473","Zhen Xu","UNDER HEAVEN - 3228ZZ3151",11200,1,8960,11520,"Signed",30,20,600,"2014","Oil on canvas mounted on aluminum board","628","10/1/17","0"
"1474","Daniel Richter","OOA2",240000,1,192000,307200,"Signed and Titled",200.5,271,54335.5,"2011","Oil / Canvas","629","10/1/17","0"
"1475","Aili Jia","UNTITLED",35200,1,19200,25600,"Signed and Dated",20,30,600,"2009","Oil / Canvas","630","10/1/17","0"
"1476","Jia Wei","ILLUMINATE THE DARK NIGHT NO. 4",NA,0,70400,96000,"Signed and Dated",200,300,60000,"2007","Acrylic / Canvas","631","10/1/17","0"
"1477","Qi Qin","UNTITLED",20800,1,12800,19200,"Signed and Dated",100,100,10000,"2013","Oil / Canvas","632","10/1/17","0"
"1478","Qi Qin","GREENHOUSE",38400,1,30720,46080,"Signed and Dated",153,251,38403,"2011","Oil / Canvas","633","10/1/17","0"
"1479","Yuanyuan Song","UNTITLED",NA,0,12800,19200,"Signed Initials",105,162,17010,"2013","Oil / Canvas","634","10/1/17","0"
"1480","Jian Zhang","SQUARE",24000,1,19200,32000,"Signed and Dated",200,300,60000,"2005","Oil / Canvas","635","10/1/17","0"
"1481","Shihua Qiu","UNTITLED",35200,1,19200,30720,NA,109,176,19184,"2001","Oil / Canvas","636","10/1/17","0"
"1482","Chen Hui","UNTITLED",NA,0,3840,5120,NA,143,131,18733,NA,"Oil / Canvas","637","10/1/17","0"
"1483","Ji Kai Li","RIPRAP",2560,1,3840,6400,"Signed and Dated",60,80,4800,"2007","Acrylic / Canvas","638","10/1/17","0"
"1484","Chunya Zhou","RED ROCK",256000,1,204800,320000,"Signed and Dated",114,89.5,10203,"1999","Oil / Canvas","639","10/1/17","0"
"1485","Wei Liu","SHAMELESS",NA,0,128000,192000,"Signed and Dated",119.9,100.2,12013.98,"2001","Oil / Canvas","640","10/1/17","0"
"1486","Liu Ye","DOLL",44800,1,35840,44800,"Signed and Dated",24,24,576,"1991","Oil and acrylic / Canvas","641","10/1/17","0"
"1487","Liu Ye","THE LAST TEMPTER",NA,0,102400,192000,"Signed and Dated",30.5,40.2,1226.1,"2006","Acrylic / Canvas","642","10/1/17","0"
"1488","Fanzhi Zeng","UNTITLED",NA,0,486400,576000,"Signed and Dated",219.5,145,31827.5,"2002","Oil / Canvas","646","10/1/17","0"
"1489","Wei Liu","SWIMMING NO. 2",NA,0,512000,640000,"Signed and Dated",100.6,100.6,10120.36,"1996","Oil / Canvas","647","10/1/17","0"
"1490","Wei Liu","SWIMMING",NA,0,409600,563200,"Signed and Dated",49.5,61,3019.5,"1993","Oil / Canvas","648","10/1/17","0"
"1491","Manolo Vald¨¦s","RETRATO CON FONDO NARANJA",288000,1,230400,358400,"Signed and Titled",222.3,166.4,36990.72,"2007","Oil / Burlap","649","10/1/17","0"
"1492","Chunya Zhou","PEACH BLOSSOMS SERIES 2006: BLUE SKY",734720,1,320000,448000,"Signed and Dated",250,200,50000,"2006","Oil / Canvas","650","10/1/17","0"
"1493","Xuhui Mao","IMAGE OF PATERNALISM WITH BROWN DOOR",NA,0,102400,153600,"Signed and Dated",120,90,10800,"1990","Oil / Canvas","651","10/1/17","0"
"1494","Yongqing Ye","WHO WILL PLAY AUTUMN'S TUNE?",NA,0,28160,38400,"Signed and Dated",78.8,91.7,7225.96,"1986","Oil / Canvas","652","10/1/17","0"
"1495","Xinping Su","EXPRESSION NO. 1",19200,1,5120,7680,"Signed and Dated",162,130,21060,"1998","Oil / Canvas","653","10/1/17","0"
"1496","Minjun Yue","UNTITLED",240000,1,179200,230400,"Signed and Dated",120,140,16800,"2001","Oil / Canvas","655","10/1/17","0"
"1497","Fang Lijun","2004.5.3",192000,1,153600,230400,"Signed",180,80,14400,NA,"Acrylic / Canvas","656","10/1/17","0"
"1498","Zhigang Tang","THE ERA OF CHILDREN",80000,1,64000,89600,"Signed and Dated",131,162,21222,"2004","Oil / Canvas","661","10/1/17","0"
"1499","Zhigang Tang","CHILDREN IN MEETING SERIES",NA,0,64000,76800,"Signed and Dated",130,161.6,21008,"1999","Oil / Canvas","663","10/1/17","0"
"1500","Guangle Wang","120605",304000,1,192000,320000,"Signed and Dated",280,180,50400,"2012","Acrylic / Canvas","664","10/1/17","0"
"1501","Weiwei Ai","COLOURED VASES (NINE WORKS)",144000,1,128000,192000,NA,NA,NA,NA,"2006","Ceramic","665","10/1/17","0"
"1502","Xiuzhen & Dong Yin & Song","(I) IF YOU SEE SOMETHING, SAY SOMETHING (II) IF YOU DON'T SEE ANYTHING, DON'T SAY ANYTHING",30400,1,17920,25600,"Signed and Titled",NA,NA,NA,NA,"Oil / Canvas","666","10/1/17","0"
"1503","Shanzhuan Wu","TODAY NO WATER",57600,1,35840,44800,"Signed and Dated",199,298,59302,"2006","Oil / Canvas","668","10/1/17","0"
"1504","Guogu Zheng","COMPUTER IS CONTROLLED BY PIG'S BRAIN NO. 63",15200,1,15360,23040,"Signed and Titled",199.5,300,59850,"2006","Oil / Canvas","669","10/1/17","0"
"1505","Shanzhuan Wu","TODAY NO WATER #6 - TOOTHPASTE",38400,1,12800,19200,NA,140,100.2,14028,"2001","Oil / Canvas","670","10/1/17","0"
"1506","Chen Shen","UNTITLED NO. 12447-12 (TRIPTYCH)",24000,1,19200,32000,"Signed and Titled",NA,NA,NA,"2012","Acrylic / Canvas","671","10/1/17","0"
"1507","Guogu Zheng","THE CHAT GOD OF MILLENNIUM 19A & 19B (SET OF TWO)",16000,1,25600,38400,"Signed and Dated",NA,NA,NA,"2002","Oil on photo print paper / Silk","673","10/1/17","0"
"1508","Zhou Xiaohu","FLOATER - 4A & 4B (DIPTYCH)",NA,0,1280,1920,"Signed and Titled",NA,NA,NA,"2005","Oil / Canvas","677","10/1/17","0"
"1509","Lee Kit","HAND PAINTED CLOTH USED WITH FRIENDS IN GATHERING (SET OF FOUR)",24000,1,15360,19200,NA,NA,NA,NA,"2009","Acrylic on fabric and photo document","678","10/1/17","0"
"1510","Lee Kit","UNTITLED (PINK)",22400,1,7680,10240,"Signed and Dated",87,158,13746,"2002","Acrylic / Canvas","679","10/1/17","0"
"1511","Wilson Ka-Ho Shieh","HONG KONG ART IN A MOMENT",8000,1,6400,10240,"Signed and Titled",75.5,59.5,4492.25,"2012","Acrylic / Canvas on board","680","10/1/17","0"
"1512","Chui Mei Tsang","IN FULL BEARING",4800,1,3840,5120,"Signed and Dated",78.8,122,9613.6,"2011","Acrylic / Canvas","681","10/1/17","0"
"1513","Chun Fai Chow","BODYGUARDS AND ASSASSINS (QUADRIPTYCH)",35200,1,38400,64000,"Signed and Dated",NA,NA,NA,"2011","Enamel / Canvas","682","10/1/17","0"
"1514","Tsou Choi Tsang","CALLIGRAPHY",17600,1,12800,19200,NA,50.3,75.5,3797.65,"1997","Oil and photo document / Board","683","10/1/17","0"
"1515","Wenda Gu","EXCLAMATORY WORD AND BOUND HUMAN INNARDS SERIES: XU! XU! XU! (TRIPTYCH)",NA,0,409600,512000,"Signed and Dated",NA,NA,NA,"1986","Oil / Canvas","685","10/1/17","0"
"1516","Tiehai Zhou","YOUNG WOMAN WITH A CHILD",12000,1,5120,7680,"Signed and Dated",120,95,11400,"2006","Oil / Canvas","689","10/1/17","0"
"1517","Tiehai Zhou","AUTUMN WATER'S RIPPLING",NA,0,7680,12800,NA,198,118,23364,"2000","Acrylic and airbrush / Canvas","690","10/1/17","0"
"1518","KAWS","YELLOW DOORWAY",488960,1,192000,332800,"Signed and Titled",122.5,173,21192.5,"2001","Acrylic / Canvas","691","10/1/17","0"
"1519","Andy Warhol","DIAMOND DUST RED SHOE",160000,1,102400,153600,"Signed and Dated",45.7,35.5,1622.35,"1980","Acrylic and silkscreen ink with diamond dust / Canvas","693","10/1/17","0"
"1520","Iwamoto Masakatsu","MAMI MART",64000,1,44800,64000,"Signed and Dated",117,73,8541,"2008","Acrylic / Canvas","704","10/1/17","0"
"1521","Yu Yasuda","UNTITLED",6400,1,3840,6400,"Signed and Titled",112,145.5,16296,NA,"Oil / Canvas","707","10/1/17","0"
"1522","Yayoi Kusama","PUMPKIN",366080,1,102400,153600,"Signed and Titled",22,27.3,600.6,"2001","Acrylic / Canvas","708","10/1/17","0"
"1523","Yayoi Kusama","PUMPKIN",224000,1,57600,83200,"Signed and Titled",22.9,16,366.4,"1990","Acrylic / Canvas","709","10/1/17","0"
"1524","Yayoi Kusama","HOLIDAY",350720,1,102400,153600,"Signed and Dated",51.3,65.2,3344.76,"1980","Acrylic / Paperboard","712","10/1/17","0"
"1525","Yayoi Kusama","RED WAVE",412160,1,128000,192000,"Signed and Titled",65.2,53,3455.6,NA,"Acrylic / Canvas","713","10/1/17","0"
"1526","Yayoi Kusama","CHRYSANTHEMUM",381440,1,192000,320000,"Signed and Titled",45.6,38.2,1741.92,"1989","Acrylic / Canvas","714","10/1/17","0"
