artist,title,online_dummy,sales_dollar,dummy_sold,low_estimate_dollar,high_estimate_dollar,signed,size_cm,edition,foundry,created,category,Medium,auction_lot,auction_date,auction_location
Ronald Ventura,SUPER THAN SUPERMAN,0,668040,1,256200,384300,Signed and Dated,152.50cm x 152.50cm,,,2018,Paintings,Oil / Canvas,1069,10/5/19,Sotheby's Hong Kong
Inyoman Masriadi,SOLAR WIND EFFECT,0,224180,1,204960,333060,Signed and Dated,250.00cm x 175.00cm,,,2018,Paintings,Acrylic / Canvas,1070,10/5/19,Sotheby's Hong Kong
Fengmian Lin,WHISPER,0,208160,1,38430,64050,Signed,34.20cm x 34.00cm,,,1980s,Works on Paper,Watercolor and ink / Paper,701,10/6/19,Sotheby's Hong Kong
Fengmian Lin,MIAO LADIES,0,256200,1,51240,64050,Signed,35.30cm x 34.90cm,,,1977,Works on Paper,Watercolor and ink / Paper,702,10/6/19,Sotheby's Hong Kong
Fengmian Lin,STILL LIFE,0,791020,1,153720,256200,Signed,69.90cm x 69.70cm,,,1982,Works on Paper,Ink and colour / Paper,703,10/6/19,Sotheby's Hong Kong
Fengmian Lin,STILL LIFE,0,760270,1,192150,358680,Signed,69.50cm x 69.00cm,,,1980s,Works on Paper,Ink and colour / Paper,704,10/6/19,Sotheby's Hong Kong
Fengmian Lin,NUDE,0,512400,1,102480,192150,Signed,41.60cm x 51.40cm,,,1977,Works on Paper,Ink and colour / Paper,705,10/6/19,Sotheby's Hong Kong
Chang Yu Sanyu,NU DEBOUT DE DOS,0,152120,1,76860,128100,Signed,45.00cm x 27.50cm,,,1920/30s,Works on Paper,Ink and colour / Paper,706,10/6/19,Sotheby's Hong Kong
Liang Guan,FLOWER DRUM OPERA,0,160130,1,51240,76860,Signed and Dated,62.50cm x 67.50cm,,,1980,Works on Paper,Ink and colour / Paper,708,10/6/19,Sotheby's Hong Kong
Liang Guan,THE BROKEN BRIDGE,0,144110,1,51240,76860,Inscribed and Signed,67.00cm x 68.50cm,,,,Works on Paper,Ink and colour / Paper,709,10/6/19,Sotheby's Hong Kong
Liang Guan,A JADE BRACELET,0,128100,1,64050,102480,Signed and Dated,81.50cm x 65.50cm,,,1979,Works on Paper,Ink and colour / Paper,710,10/6/19,Sotheby's Hong Kong
Liang Guan,PORTRAIT OF ZHONG KUI,0,128100,1,102480,153720,Signed and Dated,130.50cm x 66.60cm,,,1980,Works on Paper,Ink and colour / Paper,711,10/6/19,Sotheby's Hong Kong
Liang Guan,ZHONG KUI AND THE GHOST,0,144110,1,115290,192150,Signed and Dated,150.00cm x 81.50cm,,,1983,Works on Paper,Ink and colour / Paper,712,10/6/19,Sotheby's Hong Kong
Liang Guan,AH QING SAO OF SHA JIA BANG,0,32030,1,25620,51240,Artist's Seal,70.50cm x 50.00cm,,,,Works on Paper,Ink and colour / Paper,713,10/6/19,Sotheby's Hong Kong
Liang Guan,AH QING SAO OF SHAJIABANG,0,,0,12810,25620,Artist's Seal,64.30cm x 48.80cm,,,1970,Works on Paper,Watercolor and pencil / Paper,714,10/6/19,Sotheby's Hong Kong
Liang Guan,MADAME LI FROM THE LEGEND OF THE RED LANTERN,0,,0,3843,7690,Unavailable,58.80cm x 44.50cm,,,1970,Works on Paper,Pencil / Paper,715,10/6/19,Sotheby's Hong Kong
Fengmian Lin,SEASCAPE,0,80060,1,51240,64050,Signed,35.00cm x 35.00cm,,,1980,Works on Paper,Ink and colour / Paper,716,10/6/19,Sotheby's Hong Kong
Fengmian Lin,WINTER LANDSCAPE,0,72060,1,51240,76860,Signed,54.00cm x 65.20cm,,,,Works on Paper,Ink and colour / Paper,717,10/6/19,Sotheby's Hong Kong
Fengmian Lin,WAVE,0,352280,1,192150,256200,Signed,66.30cm x 67.80cm,,,1960s,Works on Paper,Ink and colour / Paper,718,10/6/19,Sotheby's Hong Kong
Fengmian Lin,AUTUMN,0,668040,1,192150,320250,Signed,68.00cm x 69.30cm,,,1970s,Works on Paper,Ink and colour / Paper,719,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,SANS TITRE,0,72060,1,25620,51240,Signed and Dated,22.50cm x 19.50cm,,,1917,Works on Paper,Watercolor and ink / Paper,720,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PORTRAIT DE JEUNE FEMME AUX YEUX BLEUS,0,41630,1,12810,25620,Signed and Dated,27.00cm x 19.20cm,,,1930,Works on Paper,Watercolor and pencil / Paper,721,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PORTRAIT DE JEUNE FEMME,0,60850,1,38430,64050,Signed and Dated,27.00cm x 24.00cm,,,1939,Works on Paper,Watercolor and ink / Paper,722,10/6/19,Sotheby's Hong Kong
Marie Laurencin,DEUX FEMMES,0,,0,15370,30740,Signed,44.80cm x 35.40cm,,,,Works on Paper,Watercolor and pen and ink over pencil / Paper,723,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PORTRAIT DE JEUNE FEMME (NELLY COSMELLI),0,44840,1,25620,51240,Signed and Dated,42.00cm x 36.50cm,,,1927,Works on Paper,Watercolor and pencil / Paper,724,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,CHIEN COUCHÉ,0,35230,1,12810,25620,Unavailable,30.50cm x 40.50cm,,,,Works on Paper,Ink / Cotton,725,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,CHAT,0,88070,1,38430,76860,Inscribed and Signed,24.20cm x 27.20cm,,,1940,Works on Paper,Watercolor and ink / Cardboard,726,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PORTRAIT DE NICOLE,0,11210,1,3843,7690,Inscribed,24.80cm x 16.50cm,,,,Works on Paper,Pencil on tracing paper,727,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,JEUNES FILLES AUX É PAULES DE NUDÉES,0,9610,1,3843,7690,Signed,24.30cm x 14.80cm,,,,Works on Paper,Pencil on tracing paper,728,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,CONCENTRATION,0,10410,1,6410,12810,Signed,39.00cm x 27.00cm,,,,Works on Paper,Pencil on tracing paper,729,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,JEUNE FILLE ALLEMANDE,0,22420,1,12810,25620,Signed,58.00cm x 33.00cm,,,,Works on Paper,Pencil on tracing paper,730,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,NU ASSIS,0,24020,1,19220,38430,Signed and Dated,65.50cm x 50.10cm,,,1952,Works on Paper,Pencil on tracing paper,731,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,FEMME ALLONGÉE AUX LILAS,0,352280,1,102480,153720,Inscribed and Signed,21.80cm x 26.70cm,,,1950,Paintings,Oil / Canvas,732,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PORTRAIT OF GASTON PÉRIER,0,512400,1,192150,384300,Signed and Dated,95.00cm x 76.50cm,,,1922,Paintings,Oil / Canvas,733,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,SOUPER DANS UN CABINET PARTICULIER CHEZ MAXIM’S,0,224180,1,153720,281820,Signed,22.10cm x 27.20cm,,,1952,Paintings,Oil / Canvas,734,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,ENFANT EGARÉE,0,35230,1,25620,51240,Signed and Dated,50.20cm x 51.00cm,,,1955,Works on Paper,Charcoal on tracing paper,735,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,LA ROBE DE MAMAN,0,67250,1,33310,64050,Signed and Dated,65.00cm x 50.00cm,,,1952,Works on Paper,Pencil on tracing paper,736,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,PETITE CUISINIÈRE,0,24020,1,15370,33310,Signed,63.50cm x 39.00cm,,,,Works on Paper,Pencil on tracing paper,737,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,JEUNE FILLE À LA COLERETTE À LA BOUTEILLE DE LAIT,0,28820,1,15370,33310,Signed,65.00cm x 34.50cm,,,,Works on Paper,Pencil on tracing paper,738,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,ENFANTS À LA BAGUETTE AU POT AU LAIT,0,44840,1,10250,20500,Signed and Dated,36.50cm x 28.50cm,,,1951,Works on Paper,Pencil on tracing paper,739,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,LES DEUX POUPÉES,0,24020,1,10250,20500,Signed and Dated,34.50cm x 26.50cm,,,1957,Works on Paper,Pencil on tracing paper,740,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,BOUQUET DE ROSES,0,12010,1,3843,7690,Signed,27.00cm x 23.60cm,,,,Works on Paper,Pencil on tracing paper,741,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,LA MONTAGNE,0,30420,1,10250,20500,Signed and Dated,10.20cm x 17.20cm,,,1951,Works on Paper,Watercolor and pencil / Paper,742,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,LA BATEAU,0,25620,1,19220,38430,Signed and Dated,42.00cm x 30.50cm,,,1959,Works on Paper,Pencil and oil pastel / Paper,743,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,LA BÉCASSIÈRE,0,44840,1,23060,44840,Signed and Dated,19.00cm x 26.00cm,,,1951,Paintings,Oil / Panel,744,10/6/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,MAISONS,0,64050,1,51240,102480,Signed,54.00cm x 45.00cm,,,1964,Paintings,Oil / Canvas,745,10/6/19,Sotheby's Hong Kong
Sophie Chang,PERSIMMON TREE,0,240190,1,19220,32030,Signed and Dated,140.00cm x 80.00cm,,,,Works on Paper,Ink and colour / Paper,746,10/6/19,Sotheby's Hong Kong
Sophie Chang,LOTUS,0,88070,1,12810,25620,Signed and Dated,85.50cm x 94.00cm,,,,Works on Paper,Ink and colour / Paper,747,10/6/19,Sotheby's Hong Kong
Yifei Chen,UNTITLED,0,160130,1,128100,256200,Signed,86.50cm x 66.70cm,,,1980s,Paintings,Oil / Canvas,748,10/6/19,Sotheby's Hong Kong
Hu Shi,MOTHER'S LOVE,0,48040,1,7690,15370,Signed and Dated,96.50cm x 91.70cm,,,2001,Works on Paper,Ink and color / Paper,749,10/6/19,Sotheby's Hong Kong
Walasse Ting,THREE BEAUTIES,0,72060,1,51240,102480,Artist's Seal,96.50cm x 177.30cm,,,,Paintings,Acrylic / Paper,750,10/6/19,Sotheby's Hong Kong
Walasse Ting,I AM HAPPY TO MEET YOU,0,120090,1,64050,102480,Signed and Dated,76.20cm x 112.00cm,,,1975,Paintings,Acrylic / Canvas,751,10/6/19,Sotheby's Hong Kong
Walasse Ting,TWO BEAUTIES WITH FANS,0,,0,33310,61490,Artist's Seal,180.00cm x 97.50cm,,,,Paintings,Acrylic / Paper,752,10/6/19,Sotheby's Hong Kong
Xingjian Gao,REGARD INTÉRIEUR,0,12810,1,10250,20500,Artist's Seal,96.00cm x 86.50cm,,,1995,Works on Paper,Ink / Paper,753,10/6/19,Sotheby's Hong Kong
Andre Brasilier,LA ROSE DU SOIR,0,35230,1,25620,38430,Signed on Reverse,80.90cm x 60.00cm,,,,Paintings,Oil / Canvas,754,10/6/19,Sotheby's Hong Kong
Andre Brasilier,VINCENNES SOUS LA NEIGE,0,,0,33310,64050,Signed and Dated,92.00cm x 72.80cm,,,1985,Paintings,Oil / Canvas,755,10/6/19,Sotheby's Hong Kong
Andre Brasilier,GRANDE CAMARGUE,0,152120,1,102480,204960,Signed and Dated,114.20cm x 162.50cm,,,2009,Paintings,Oil / Canvas,756,10/6/19,Sotheby's Hong Kong
Tomos,ON THE WAY,0,19220,1,10250,20500,Signed and Dated,50.00cm x 60.00cm,,,1988,Paintings,Oil / Canvas,757,10/6/19,Sotheby's Hong Kong
Junde Chen,SUMMER,0,48040,1,12810,25620,Signed and Dated,60.90cm x 72.70cm,,,2008,Paintings,Oil / Canvas,758,10/6/19,Sotheby's Hong Kong
Jieyin Wang,QILIAN,0,30420,1,12810,25620,Signed and Dated,61.00cm x 73.00cm,,,1996,Paintings,Oil / Canvas,759,10/6/19,Sotheby's Hong Kong
Luo Erchun,CHINESE BANYAN TREE,0,51240,1,23060,44840,Signed and Dated,60.50cm x 72.80cm,,,1994-1995,Paintings,Oil / Canvas,760,10/6/19,Sotheby's Hong Kong
Dong Moy Chu Kingman,CHINESE CULTURAL CENTER OF STOCKTON,0,9610,1,7690,15370,Signed,57.30cm x 77.50cm,,,1977,Works on Paper,Watercolor / Paper,761,10/6/19,Sotheby's Hong Kong
Dong Moy Chu Kingman,CANDLESTICK PARK,0,6410,1,5120,10250,Signed,38.00cm x 56.50cm,,,c.  1967,Works on Paper,Watercolor / Paper,762,10/6/19,Sotheby's Hong Kong
Dong Moy Chu Kingman,EL OVER BOWERY,0,8010,1,5120,10250,Signed and Titled,38.50cm x 57.80cm,,,c.  1950,Works on Paper,Watercolor / Paper,763,10/6/19,Sotheby's Hong Kong
Wou-Ki Zao,SANS TITRE,0,,0,256200,512400,Signed and Dated,24.00cm x 33.00cm,,,1949,Paintings,Oil / Cardboard,764,10/6/19,Sotheby's Hong Kong
Wou-Ki Zao,MAN HOLDING BABY,0,,0,307440,614880,Signed and Dated,29.50cm x 40.60cm,,,1926,Paintings,Oil / Paperboard,765,10/6/19,Sotheby's Hong Kong
Yacai Qiu,GENTLEMAN,0,,0,44840,89670,Signed,117.00cm x 91.00cm,,,,Paintings,Oil / Canvas,766,10/6/19,Sotheby's Hong Kong
Yacai Qiu,A FINE YOUNG MAN,0,,0,33310,64050,Signed,91.00cm x 72.50cm,,,,Paintings,Oil / Canvas,767,10/6/19,Sotheby's Hong Kong
Ming Ju,KUAN KUNG,0,112090,1,25620,51240,Signed,37.00cm x 33.90cm x 90.40cm,20-May,,,Sculptures,Bronze,769,10/6/19,Sotheby's Hong Kong
Zhe Ren,LEI,0,67250,1,38430,64050,Unavailable,99.00cm x 63.00cm x 140.00cm,9-Jun,,2017,Sculptures,Steel,770,10/6/19,Sotheby's Hong Kong
Yang Yuyu,EAST AND WEST GATE,0,17610,1,10250,20500,Signed and Dated,59.00cm x 59.00cm x 36.00cm,16/20,,1973,Sculptures,Steel,771,10/6/19,Sotheby's Hong Kong
Dayu Wu,UNTITLED II-527,0,25620,1,10250,20500,Unavailable,14.60cm x 10.30cm,,,,Works on Paper,Crayon / Paper,772,10/6/19,Sotheby's Hong Kong
Dayu Wu,UNTITLED II-566,0,20820,1,10250,20500,Unavailable,14.80cm x 10.10cm,,,,Works on Paper,Crayon / Paper,773,10/6/19,Sotheby's Hong Kong
Dayu Wu,LETTER TO ZAO WOU-KI,0,11210,1,3843,7690,Signed,29.80cm x 15.70cm,,,1945,Works on Paper,Ink / Paper,774,10/6/19,Sotheby's Hong Kong
Guanzhong Wu,LETTER TO ZHUANG HUAYUE,0,8810,1,2562,5120,Signed,26.00cm x 19.00cm,,,1980,Works on Paper,Pen / Paper,775,10/6/19,Sotheby's Hong Kong
Zhuang Huayue,NO.115,0,4483,1,2562,5120,Unavailable,12.50cm x 12.50cm,,,1980s,Works on Paper,Watercolor / Paper,776,10/6/19,Sotheby's Hong Kong
Guanzhong Wu,SPRING VINES,0,160130,1,76860,128100,Signed and Dated,38.80cm x 48.00cm,,,2000,Works on Paper,Ink and colour / Paper,777,10/6/19,Sotheby's Hong Kong
Walasse Ting,SO MUCH SUNSHINE,0,136110,1,102480,192150,Signed and Dated,145.00cm x 178.50cm,,,1966-1968,Paintings,Acrylic / Canvas,778,10/6/19,Sotheby's Hong Kong
Li Zhongsheng,NO. 005,0,24020,1,8970,19220,Unavailable,36.00cm x 26.00cm,,,,Paintings,Oil and ink / Paper,779,10/6/19,Sotheby's Hong Kong
Li Zhongsheng,NO. 129,0,24020,1,8970,19220,Unavailable,36.00cm x 26.00cm,,,,Works on Paper,Ink and colour / Paper,780,10/6/19,Sotheby's Hong Kong
Hans Hartung,P 1960-65,0,,0,33310,64050,Signed and Dated,65.00cm x 50.00cm,,,1960,Works on Paper,Pencil and pastel crayon / Paper,781,10/6/19,Sotheby's Hong Kong
Hans Hartung,T 1971-E47,0,88070,1,64050,128100,Signed and Dated,50.20cm x 64.70cm,,,1971,Paintings,Acrylic / Canvas,782,10/6/19,Sotheby's Hong Kong
Georges Mathieu,RADO II,0,92870,1,51240,115290,Signed and Dated,92.00cm x 73.00cm,,,1970,Paintings,Oil / Canvas,783,10/6/19,Sotheby's Hong Kong
Georges Mathieu,RADO III,0,88070,1,51240,115290,Signed and Dated,92.00cm x 72.70cm,,,1970,Paintings,Oil / Canvas,784,10/6/19,Sotheby's Hong Kong
Serge Poliakoff,COMPOSITION ABSTRAITE,0,112090,1,89670,192150,Signed Lower Left,73.00cm x 60.00cm,,,1966,Paintings,Oil / Canvas,785,10/6/19,Sotheby's Hong Kong
Teh-Chun Chu,18 FEVRIER 78,0,144110,1,115290,230580,Signed,65.00cm x 49.80cm,,,1978,Paintings,Oil on paper mounted on canvas,786,10/6/19,Sotheby's Hong Kong
Teh-Chun Chu,LE 23. MARS 1979,0,240190,1,128100,256200,Signed and Dated,45.50cm x 61.00cm,,,1979,Paintings,Oil / Canvas,787,10/6/19,Sotheby's Hong Kong
Georges Mathieu,HOMMAGE À GRIGNY,0,224180,1,179340,358680,Signed and Dated,194.80cm x 97.00cm,,,1970,Paintings,Oil / Canvas,788,10/6/19,Sotheby's Hong Kong
Teh-Chun Chu,COMPOSITION NO. 570,0,320250,1,256200,512400,Signed and Dated,92.00cm x 73.00cm,,,1974,Paintings,Oil / Canvas,789,10/6/19,Sotheby's Hong Kong
Teh-Chun Chu,SANS TITRE,0,416330,1,192150,448350,Signed and Dated,56.00cm x 76.00cm,,,1986,Paintings,Acrylic on paper mounted on canvas,790,10/6/19,Sotheby's Hong Kong
Zhong Ren,HERMITAGE,0,120090,1,64050,128100,Inscribed and Signed,78.00cm x 32.00cm,,,2016,Works on Paper,Ink and colour / Silk,791,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,7690,1,3330,6410,Signed and Dated,40.00cm x 30.00cm,,,1973,Paintings,Oil / Canvas,792,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,12010,1,5120,10250,Signed and Dated,60.00cm x 50.00cm,,,1995,Paintings,Oil / Canvas,793,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,51240,1,12810,25620,Signed and Dated,80.00cm x 100.00cm,,,1966,Paintings,Oil / Canvas,796,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,32030,1,12810,25620,Signed and Dated,80.00cm x 100.00cm,,,1970,Paintings,Oil / Canvas,797,10/6/19,Sotheby's Hong Kong
Orazio Bacci,A. ONDE LUCE NO. 110 B. ONDE LUCE NO. 116 (2),0,3202,1,2562,5120,Signed and Dated,,,,1985,Paintings,Acrylic / Canvas,799,10/6/19,Sotheby's Hong Kong
Orazio Bacci,DMS 321,0,5600,1,3074,6410,Signed and Dated,90.00cm x 120.00cm,,,1966,Paintings,Acrylic / Canvas,800,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,11210,1,3843,7690,Signed and Dated,50.00cm x 30.00cm,,,1995,Paintings,Oil / Canvas,802,10/6/19,Sotheby's Hong Kong
Kan Ho,SENZA TITOLO,0,22420,1,10250,20500,Signed and Dated,80.00cm x 80.00cm,,,1974-75,Paintings,Oil / Canvas,803,10/6/19,Sotheby's Hong Kong
Bernard Aubertin,TABLEAU CLOUS,0,6730,1,3843,7690,Signed and Dated,28.50cm x 28.50cm,,,1969,Mixed Media,Mixed Media / Board,807,10/6/19,Sotheby's Hong Kong
Bernard Aubertin,DESSIN DE FEU,0,,0,5120,10250,Signed and Dated,50.00cm x 65.00cm,,,1974,Mixed Media,Mixed Media / Cardboard,808,10/6/19,Sotheby's Hong Kong
Bernard Aubertin,LIVRE BRULÉ,0,,0,5120,10250,Signed and Dated,50.00cm x 70.00cm,,,1973,Mixed Media,Mixed Media / Board,809,10/6/19,Sotheby's Hong Kong
Bernard Aubertin,DESSIN DE FEU CIRCULAIRE,0,,0,8970,19220,Signed and Titled,65.00cm x 50.00cm,,,1973,Mixed Media,Mixed Media / Cardboard,810,10/6/19,Sotheby's Hong Kong
Weibor Chu,MICRO-DELIBRATION-WHITE,0,,0,12810,25620,Signed and Dated,84.00cm x 59.00cm,,,2003,Mixed Media,Mixed Media / Canvas,811,10/6/19,Sotheby's Hong Kong
Weibor Chu,SOLIPSISM-WHITE,0,,0,12810,25620,Signed and Dated,84.00cm x 59.00cm,,,2003,Mixed Media,Mixed Media / Canvas,812,10/6/19,Sotheby's Hong Kong
Chin Hsiao,SAMADHI-88,0,120090,1,51240,102480,Signed and Dated,99.00cm x 111.00cm,,,1995/2019,Other,Glass mosaic,813,10/6/19,Sotheby's Hong Kong
David Diao,BERLIN CHAIR UNASSEMBLED 1,0,32030,1,19220,38430,Signed and Titled,92.00cm x 122.00cm,,,2018,Paintings,Acrylic / Canvas,814,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,SENZA TITOLO,0,14410,1,3843,7690,Signed,24.20cm x 24.20cm,,,,Works on Paper,Ink and colour / Paper on board,815,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,SENZA TITOLO,0,6080,1,3330,6410,Signed on Reverse,24.00cm x 24.00cm,,,,Mixed Media,Mixed Media / Board,816,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,SENZA TITOLO,0,32030,1,3843,7690,Unavailable,25.00cm x 274.70cm,,,1960s,Works on Paper,Ink / Linen,817,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,SENZA TITOLO,0,16010,1,2562,5120,Signed,69.00cm x 9.50cm,,,1964,Mixed Media,Mixed Media / Board,818,10/6/19,Sotheby's Hong Kong
Ming-Hsien Hsiao,UNTITLED,0,,0,6410,12810,Signed and Dated,133.50cm x 35.00cm,,,1963,Works on Paper,Ink and colour / Paper,819,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,SENZA TITOLO,0,20820,1,7690,15370,Signed and Dated,80.00cm x 110.00cm,,,1958,Works on Paper,Ink / Paper,820,10/6/19,Sotheby's Hong Kong
Li Yuan-Chia,UNTITLED,0,6410,1,3843,7690,Signed,60.00cm x 120.00cm,,,,Works on Paper,Ink / Paper,821,10/6/19,Sotheby's Hong Kong
Kuosung Liu,WATERFALL BEHIND THE SNOW,0,,0,19220,38430,Signed and Dated,45.50cm x 45.50cm,,,1968,Mixed Media,Mixed Media / Paper,822,10/6/19,Sotheby's Hong Kong
Kuosung Liu,DOWN TO THE WATER II,0,,0,25620,51240,Signed and Dated,53.50cm x 53.50cm,,,1968,Mixed Media,Mixed Media / Paper,823,10/6/19,Sotheby's Hong Kong
Kuosung Liu,DAWN SPRING,0,22420,1,12810,25620,Signed and Dated,47.00cm x 46.20cm,,,1982,Works on Paper,Ink and colour / Paper,824,10/6/19,Sotheby's Hong Kong
Ko Chu,ENDLESS STRETCH,0,19220,1,12810,25620,Signed and Dated,69.00cm x 135.00cm,,,1999,Works on Paper,Ink and colour / Paper,825,10/6/19,Sotheby's Hong Kong
Che Chuang,SPRING AWAKENING,0,24020,1,19220,38430,Signed and Dated,85.40cm x 124.70cm,,,1969,Paintings,Oil / Canvas,826,10/6/19,Sotheby's Hong Kong
Lei Li,SHANGHAI FLOWER NO.73,0,35230,1,25620,51240,Signed and Dated,150.00cm x 100.00cm,,,2010,Paintings,Oil / Canvas,827,10/6/19,Sotheby's Hong Kong
Che Chuang,HARMONY (diptych),0,136110,1,44840,89670,Signed and Dated,,,,1983,Paintings,Oil / Canvas,828,10/6/19,Sotheby's Hong Kong
Teh-Chun Chu,COMPOSITION,0,,0,38430,64050,Signed and Dated,34.70cm x 27.00cm,,,1976,Paintings,Oil / Canvas,829,10/6/19,Sotheby's Hong Kong
Chi-Chung Hu,PAINTING 6953,0,,0,5120,10250,Signed and Dated,72.00cm x 91.00cm,,,1969,Mixed Media,Mixed Media / Canvas,830,10/6/19,Sotheby's Hong Kong
Chi-Chung Hu,PAINTING 7007,0,,0,10250,19220,Signed and Dated,90.00cm x 117.00cm,,,1970,Mixed Media,Mixed Media / Canvas,831,10/6/19,Sotheby's Hong Kong
Yan Hsia,A SUNDAY AFTERNOON ON ILE DE LA GRANDE JATTE,0,56040,1,44840,70460,Signed and Dated,96.00cm x 130.00cm,,,1999,Paintings,Acrylic / Canvas,832,10/6/19,Sotheby's Hong Kong
Fu-sheng Ku,NIGHT AND DAY,0,6730,1,3843,7690,Signed,90.00cm x 61.00cm,,,2004,Mixed Media,Mixed Media / Canvas,833,10/6/19,Sotheby's Hong Kong
Fu-sheng Ku,FALLEN,0,16010,1,5120,10250,Signed,127.00cm x 102.00cm,,,1964,Paintings,Oil / Canvas,834,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,RED SILK-COTTON,0,7690,1,2562,5120,Inscribed and Signed,23.50cm x 35.00cm,,,,Works on Paper,Ink and colour / Paper,835,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,LOTUS AND BIRD,0,3202,1,2562,5120,Signed,23.50cm x 35.00cm,,,,Works on Paper,Ink and colour / Paper,836,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,ORCHID AND GRASSHOPPER,0,3202,1,2562,5120,Signed,23.80cm x 35.00cm,,,,Works on Paper,Ink and colour / Paper,837,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,MAGNOLIA AND GRASSHOPPER,0,12010,1,2562,5120,Signed,23.20cm x 35.00cm,,,,Works on Paper,Ink and colour / Paper,838,10/6/19,Sotheby's Hong Kong
C C (Wang Chi-Chien) Wang,EGGPLANTS,0,,0,2562,5120,Signed,30.00cm x 45.00cm,,,,Works on Paper,Ink and colour / Paper,839,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,TWO FROGS,0,4163,1,2562,5120,Signed,23.50cm x 35.00cm,,,,Works on Paper,Ink / Paper,840,10/6/19,Sotheby's Hong Kong
Yen-Yung Ting,FISH,0,17610,1,2562,5120,Inscribed and Signed,34.00cm x 45.50cm,,,,Works on Paper,Ink / Paper,841,10/6/19,Sotheby's Hong Kong
Jialing Chen,FISH,0,,0,6410,12810,Signed,96.50cm x 60.00cm,,,1995,Works on Paper,Ink and colour / Paper,842,10/6/19,Sotheby's Hong Kong
Luis Chan,FISH,0,,0,6410,12810,Signed and Dated,97.50cm x 71.30cm,,,1977,Works on Paper,Ink and colour / Paper,843,10/6/19,Sotheby's Hong Kong
Walasse Ting,SIX BEAUTIES,0,16010,1,7690,15370,Artist's Seal,37.00cm x 48.50cm,,,,Paintings,Ink and acrylic on paper mounted on canvas,844,10/6/19,Sotheby's Hong Kong
Ming Ju,A JOYFUL FAMILY,0,,0,3843,6410,Signed and Dated,62.00cm x 95.00cm,,,1999,Works on Paper,Ink and colour / Paper,845,10/6/19,Sotheby's Hong Kong
Chengyao Yu,LANDSCAPE,0,,0,8970,15370,Signed and Titled,34.00cm x 45.00cm,,,1989,Works on Paper,Ink and colour / Paper,846,10/6/19,Sotheby's Hong Kong
C C (Wang Chi-Chien) Wang,SNOW LANDSCAPE OF MT. TAI,0,,0,10250,20500,Signed and Dated,66.50cm x 41.00cm,,,1984,Works on Paper,Ink and colour / Paper,847,10/6/19,Sotheby's Hong Kong
In-Ting Ran,WATERFALL,0,24020,1,6410,12810,Signed and Dated,69.00cm x 44.50cm,,,1962,Works on Paper,Ink and colour / Paper,848,10/6/19,Sotheby's Hong Kong
In-Ting Ran,FORMOSA,0,12010,1,2562,5120,Signed and Dated,26.00cm x 34.00cm,,,1953,Works on Paper,Watercolor / Paper,849,10/6/19,Sotheby's Hong Kong
